Last record: 2024-07-03 16:08:40
Symbol a / Unicode 97
Symbol b / Unicode 98
Symbol c / Unicode 99
Symbol d / Unicode 100
Symbol e / Unicode 101
Symbol f / Unicode 102
Symbol g / Unicode 103
Symbol h / Unicode 104
Symbol i / Unicode 105
Symbol j / Unicode 106
Symbol k / Unicode 107
Symbol l / Unicode 108
Symbol m / Unicode 109
Symbol n / Unicode 110
Symbol o / Unicode 111
Symbol p / Unicode 112
Symbol q / Unicode 113
Symbol r / Unicode 114
Symbol s / Unicode 115
Symbol t / Unicode 116
Symbol u / Unicode 117
Symbol v / Unicode 118
Symbol w / Unicode 119
Symbol x / Unicode 120
Symbol y / Unicode 121
Symbol z / Unicode 122
Symbol A / Unicode 65
Symbol B / Unicode 66
Symbol C / Unicode 67
Symbol D / Unicode 68
Symbol E / Unicode 69
Symbol F / Unicode 70
Symbol G / Unicode 71
Symbol H / Unicode 72
Symbol I / Unicode 73
Symbol J / Unicode 74
Symbol K / Unicode 75
Symbol L / Unicode 76
Symbol M / Unicode 77
Symbol N / Unicode 78
Symbol O / Unicode 79
Symbol P / Unicode 80
Symbol Q / Unicode 81
Symbol R / Unicode 82
Symbol S / Unicode 83
Symbol T / Unicode 84
Symbol U / Unicode 85
Symbol V / Unicode 86
Symbol W / Unicode 87
Symbol X / Unicode 88
Symbol Y / Unicode 89
Symbol Z / Unicode 90
Symbol 0 / Unicode 48
Symbol 1 / Unicode 49
Symbol 2 / Unicode 50
Symbol 3 / Unicode 51
Symbol 4 / Unicode 52
Symbol 5 / Unicode 53
Symbol 6 / Unicode 54
Symbol 7 / Unicode 55
Symbol 8 / Unicode 56
Symbol 9 / Unicode 57
